city,timestamp,pm2_5,pm10,no2,so2,o3,co,temp_c,humidity,windspeed_kph,pressure_mb
Delhi,1772755200,47.98,106.77,6.92,1.59,49.9,282.38,31.13,12,10.296,1007
Delhi,1772758800,48.1,106.73,8.16,1.67,44.77,294.11,31.13,12,10.296,1007
Delhi,1772762400,49.1,110.63,11.7,2.08,37.65,336.79,31.13,12,10.296,1007
Delhi,1772766000,50.34,115.96,13.29,2.46,34.96,388.84,31.13,12,10.296,1007
Delhi,1772769600,50.89,119.52,11.8,2.69,39.13,418.79,31.13,12,10.296,1007
Delhi,1772773200,51.8,122.32,10.8,2.86,49.55,426.16,31.13,12,10.296,1007
Delhi,1772776800,56.24,131.22,9.02,3.01,76.13,401.76,31.13,12,10.296,1007
Delhi,1772780400,51.64,145.51,2.64,4.12,131.46,228.03,31.13,12,10.296,1007
Delhi,1772784000,49.19,139.01,1.64,4.17,139.74,191.07,31.13,12,10.296,1007
Delhi,1772787600,48.4,134.01,1.6,4.1,142.95,184.17,31.13,12,10.296,1007
Delhi,1772791200,50.39,131.72,4.45,3.99,126.5,222.46,31.13,12,10.296,1007
Delhi,1772794800,53.7,130.14,9.91,3.81,99.07,298.33,31.13,12,10.296,1007
Delhi,1772798400,56.54,129.81,17.73,3.74,73.46,385.11,31.13,12,10.296,1007
Delhi,1772802000,59.36,131.57,26.04,3.88,51.38,468.02,31.13,12,10.296,1007
Delhi,1772805600,62.78,135.28,28.61,4.28,41.12,533.78,31.13,12,10.296,1007
Chandigarh,1772413200,83.28,110.27,7.64,1.24,11.23,494.62,26.9,22,11.988000000000001,1007
Chandigarh,1772416800,84.84,113.96,9.13,1.64,8.68,532.71,26.9,22,11.988000000000001,1007
Chandigarh,1772420400,86.11,117.97,8.79,2.12,13.04,567.52,26.9,22,11.988000000000001,1007
Chandigarh,1772424000,86.45,121.35,7.6,3.48,36.35,540.33,26.9,22,11.988000000000001,1007
Chandigarh,1772427600,86.85,122.83,6.48,3.85,50.1,534.06,26.9,22,11.988000000000001,1007
Chandigarh,1772431200,89.38,126.72,4.8,4.94,78.21,510.47,26.9,22,11.988000000000001,1007
Chandigarh,1772434800,60.77,101.23,1.21,7.57,143.46,298.51,26.9,22,11.988000000000001,1007
Chandigarh,1772438400,47.3,81.99,0.86,5.59,143.98,240.79,26.9,22,11.988000000000001,1007
Chandigarh,1772442000,42.13,72.7,0.91,5.04,142.43,224.29,26.9,22,11.988000000000001,1007
Chandigarh,1772445600,42.4,70.92,1.84,4.73,130.53,236.1,26.9,22,11.988000000000001,1007
Chandigarh,1772449200,45.68,73.16,3.51,4.43,111.28,265.47,26.9,22,11.988000000000001,1007
Chandigarh,1772452800,48.82,75.93,5.93,4.38,97.1,298.88,26.9,22,11.988000000000001,1007
Chandigarh,1772456400,52.1,78.93,8.57,4.44,80.44,336.17,26.9,22,11.988000000000001,1007
Chandigarh,1772460000,56.62,83.75,9.74,4.61,65.63,378.95,26.9,22,11.988000000000001,1007
Chandigarh,1772463600,61.41,89.33,10.3,4.87,56.83,414.19,26.9,22,11.988000000000001,1007
Chandigarh,1772467200,64.64,92.82,10.28,5.0,51.97,430.5,26.9,22,11.988000000000001,1007
Chandigarh,1772470800,68.17,97.18,9.89,5.34,52.27,441.24,26.9,22,11.988000000000001,1007
Chandigarh,1772474400,70.91,100.41,9.16,5.67,55.05,438.33,26.9,22,11.988000000000001,1007
Chandigarh,1772478000,72.09,101.26,8.02,5.66,56.94,420.62,26.9,22,11.988000000000001,1007
Chandigarh,1772481600,73.5,102.08,7.07,5.15,54.71,410.9,26.9,22,11.988000000000001,1007
Chandigarh,1772485200,74.84,102.57,6.35,4.44,51.3,406.45,26.9,22,11.988000000000001,1007
Chandigarh,1772488800,75.42,102.12,5.82,3.74,47.73,403.03,26.9,22,11.988000000000001,1007
Chandigarh,1772492400,76.18,102.1,5.48,3.28,46.04,402.8,26.9,22,11.988000000000001,1007
Chandigarh,1772496000,76.97,102.23,5.35,3.06,45.64,406.47,26.9,22,11.988000000000001,1007
Chandigarh,1772499600,76.2,101.76,5.78,2.75,41.96,405.5,26.9,22,11.988000000000001,1007
Chandigarh,1772503200,76.87,103.41,7.16,3.08,40.23,432.07,26.9,22,11.988000000000001,1007
Chandigarh,1772506800,77.41,106.07,7.67,3.71,45.0,455.73,26.9,22,11.988000000000001,1007
Chandigarh,1772510400,76.72,108.08,6.23,4.52,61.52,450.52,26.9,22,11.988000000000001,1007
Chandigarh,1772514000,76.01,108.44,5.07,4.54,73.6,444.24,26.9,22,11.988000000000001,1007
Chandigarh,1772517600,76.27,109.75,3.52,5.15,97.18,421.25,26.9,22,11.988000000000001,1007
Chandigarh,1772521200,63.84,99.35,1.92,8.34,139.3,317.92,26.9,22,11.988000000000001,1007
Chandigarh,1772524800,58.39,92.81,1.56,7.9,145.97,276.54,26.9,22,11.988000000000001,1007
Chandigarh,1772528400,55.9,88.92,1.59,7.33,147.5,259.99,26.9,22,11.988000000000001,1007
Chandigarh,1772532000,56.21,88.58,2.12,7.08,144.58,260.02,26.9,22,11.988000000000001,1007
Chandigarh,1772535600,58.88,90.92,3.29,7.11,133.17,273.47,26.9,22,11.988000000000001,1007
Chandigarh,1772539200,61.67,93.92,5.23,7.45,121.92,292.55,26.9,22,11.988000000000001,1007
Chandigarh,1772542800,64.01,96.19,7.62,7.55,104.8,318.0,26.9,22,11.988000000000001,1007
Chandigarh,1772546400,67.13,99.52,9.05,7.4,88.05,350.59,26.9,22,11.988000000000001,1007
Chandigarh,1772550000,70.16,103.13,9.79,7.19,77.38,377.17,26.9,22,11.988000000000001,1007
Chandigarh,1772553600,71.56,104.18,10.07,6.46,65.51,395.77,26.9,22,11.988000000000001,1007
Chandigarh,1772557200,74.09,106.79,10.57,5.37,52.4,425.42,26.9,22,11.988000000000001,1007
Chandigarh,1772560800,76.31,109.1,10.7,4.23,42.04,445.54,26.9,22,11.988000000000001,1007
Chandigarh,1772564400,77.32,109.42,10.06,3.05,33.21,447.93,26.9,22,11.988000000000001,1007
Chandigarh,1772568000,78.97,110.75,9.13,2.19,25.67,451.69,26.9,22,11.988000000000001,1007
Chandigarh,1772571600,80.73,112.69,8.3,1.68,20.33,456.51,26.9,22,11.988000000000001,1007
Chandigarh,1772575200,82.16,114.57,7.68,1.4,16.71,460.07,26.9,22,11.988000000000001,1007
Chandigarh,1772578800,83.9,117.15,7.3,1.23,14.42,465.08,26.9,22,11.988000000000001,1007
Chandigarh,1772582400,85.41,119.61,7.3,1.13,12.51,471.4,26.9,22,11.988000000000001,1007
Chandigarh,1772586000,86.12,121.63,7.86,1.2,10.32,485.44,26.9,22,11.988000000000001,1007
Chandigarh,1772589600,87.36,125.7,9.38,1.55,8.32,524.7,26.9,22,11.988000000000001,1007
Chandigarh,1772593200,87.88,130.34,8.66,1.97,12.93,561.6,26.9,22,11.988000000000001,1007
Chandigarh,1772596800,85.54,133.53,7.25,2.76,29.25,548.43,26.9,22,11.988000000000001,1007
Chandigarh,1772600400,84.2,134.18,6.73,3.12,42.8,539.78,26.9,22,11.988000000000001,1007
Chandigarh,1772604000,85.91,138.17,5.71,3.81,69.63,515.66,26.9,22,11.988000000000001,1007
Chandigarh,1772607600,78.52,137.11,2.74,10.48,131.35,371.58,26.9,22,11.988000000000001,1007
Chandigarh,1772611200,77.93,135.23,2.15,11.89,144.89,330.91,26.9,22,11.988000000000001,1007
Chandigarh,1772614800,76.63,131.32,2.12,12.42,151.53,308.4,26.9,22,11.988000000000001,1007
Chandigarh,1772618400,72.74,124.93,2.48,12.04,151.26,287.78,26.9,22,11.988000000000001,1007
Chandigarh,1772622000,69.77,119.31,3.48,11.15,138.73,283.26,26.9,22,11.988000000000001,1007
Chandigarh,1772625600,66.92,114.67,5.25,10.64,125.13,288.0,26.9,22,11.988000000000001,1007
Chandigarh,1772629200,64.49,110.52,7.36,10.09,107.19,300.53,26.9,22,11.988000000000001,1007
Chandigarh,1772632800,64.02,109.02,8.58,9.4,89.56,323.51,26.9,22,11.988000000000001,1007
Chandigarh,1772636400,64.13,108.67,9.22,8.74,77.35,344.19,26.9,22,11.988000000000001,1007
Chandigarh,1772640000,63.78,106.9,9.37,7.67,65.59,358.32,26.9,22,11.988000000000001,1007
Chandigarh,1772643600,65.2,107.69,9.56,6.42,54.43,380.83,26.9,22,11.988000000000001,1007
Chandigarh,1772647200,67.01,109.01,9.5,5.11,45.45,398.84,26.9,22,11.988000000000001,1007
Chandigarh,1772650800,67.9,108.94,8.77,3.96,39.36,402.02,26.9,22,11.988000000000001,1007
Chandigarh,1772654400,69.15,109.86,7.72,3.31,36.86,404.36,26.9,22,11.988000000000001,1007
Chandigarh,1772658000,70.55,111.07,6.77,2.9,35.84,405.65,26.9,22,11.988000000000001,1007
Chandigarh,1772661600,71.22,111.73,6.0,2.62,35.29,403.96,26.9,22,11.988000000000001,1007
Chandigarh,1772665200,71.46,112.48,5.49,2.49,35.51,402.91,26.9,22,11.988000000000001,1007
Chandigarh,1772668800,71.32,113.28,5.23,2.56,37.34,402.2,26.9,22,11.988000000000001,1007
Chandigarh,1772672400,71.94,115.34,5.35,2.94,39.85,408.96,26.9,22,11.988000000000001,1007
Chandigarh,1772676000,74.88,120.7,6.45,3.62,40.28,435.19,26.9,22,11.988000000000001,1007
Chandigarh,1772679600,80.98,130.5,7.07,4.79,44.65,472.47,26.9,22,11.988000000000001,1007
Chandigarh,1772683200,89.26,142.4,6.03,6.35,56.43,503.86,26.9,22,11.988000000000001,1007
Chandigarh,1772686800,96.98,151.34,4.95,7.47,72.51,530.33,26.9,22,11.988000000000001,1007
Chandigarh,1772690400,107.14,162.96,3.48,9.68,101.39,544.61,26.9,22,11.988000000000001,1007
Chandigarh,1772694000,101.26,159.24,2.25,15.64,148.71,467.87,26.9,22,11.988000000000001,1007
Chandigarh,1772697600,91.29,146.16,1.97,14.83,156.85,401.87,26.9,22,11.988000000000001,1007
Chandigarh,1772701200,83.61,134.94,2.0,13.24,157.19,359.93,26.9,22,11.988000000000001,1007
Chandigarh,1772704800,78.66,127.28,2.48,11.91,151.7,337.28,26.9,22,11.988000000000001,1007
Chandigarh,1772708400,75.6,120.86,3.5,10.75,137.95,330.86,26.9,22,11.988000000000001,1007
Chandigarh,1772712000,72.7,115.07,5.22,10.28,124.73,333.3,26.9,22,11.988000000000001,1007
Chandigarh,1772715600,70.11,109.85,7.29,9.94,108.24,343.29,26.9,22,11.988000000000001,1007
Chandigarh,1772719200,68.94,106.73,8.41,9.54,92.67,362.21,26.9,22,11.988000000000001,1007
Chandigarh,1772722800,67.5,103.53,8.98,9.07,82.2,377.9,26.9,22,11.988000000000001,1007
Chandigarh,1772726400,65.07,98.65,9.08,8.18,72.08,384.87,26.9,22,11.988000000000001,1007
Chandigarh,1772730000,64.69,96.8,9.38,7.07,61.73,402.19,26.9,22,11.988000000000001,1007
Chandigarh,1772733600,64.71,95.61,9.49,5.91,53.18,415.23,26.9,22,11.988000000000001,1007
Chandigarh,1772737200,63.93,92.79,9.21,4.54,43.62,416.37,26.9,22,11.988000000000001,1007
Chandigarh,1772740800,64.35,91.98,8.76,3.41,34.5,421.86,26.9,22,11.988000000000001,1007
